Time,Plasmact,H-alpha,Mirnov,DeltaR,SXR
-11.07999897,0.055607527,-0.0122,0.097599998,-12.1859808,0.039039999
-11.05999947,0.055607527,-0.01708,0.097603488,-12.1859808,0.039039301
-11.03999901,0.055607527,0,0.10980116,-12.1859808,0.036601398
-11.0199995,0.055607527,-0.00976,0.121997086,-12.1859808,0.051240579
-10.99999905,0.055607527,-0.00976,0.109799763,-12.1859808,0.053679417
-10.97999954,0.055607527,-0.043919999,0.104922793,-12.1859808,0.041480463
-10.95999908,0.055607527,0.046360001,0.119548829,-12.1859808,0.043915346
-10.93999958,0.055607527,-0.02196,0.090280345,-12.1859808,0.031719299
-10.91999912,0.055607527,-0.026839999,0.092724073,-12.1859808,0.026844071
-10.89999962,0.055607527,0.0244,0.104919534,-12.1859808,0.039039534
-10.87999916,0.055607527,-0.00976,0.100042788,-12.1859808,0.034160697
-10.85999966,0.055607527,0,0.109799531,-12.1859808,0.036600234
-10.8399992,0.055607527,-0.029279999,0.100044068,-12.1859808,0.041477671
-10.81999969,0.055607527,0.01708,0.117119998,-12.1859808,0.031719998
-10.79999924,0.055607527,-0.029279999,0.109799065,-12.1859808,0.039039068
-10.77999973,0.056261415,-0.01952,0.104919186,-11.37887055,0.034160814
-10.75999928,0.056915334,0.0122,0.102478249,-10.57172181,0.03660035
-10.73999977,0.057569222,-0.029279999,0.090280694,-9.764611564,0.039039301
-10.71999931,0.058223141,0.01464,0.092718373,-8.957462828,0.036600467
-10.69999886,0.05887706,-0.01708,0.075641396,-8.150314093,0.041477904
-10.67999935,0.059530948,0.00488,0.080520462,-7.343203844,0.034160232
-10.65999889,0.060184867,-0.00488,0.090276507,-6.536055108,0.039039999
-10.63999939,0.060838755,-0.01952,0.07564,-5.72894486,0.039039999
-10.61999893,0.061492674,0.00732,0.102476736,-4.921796124,0.036600932
-10.59999943,0.062146562,-0.029279999,0.085403257,-4.114685875,0.041479183
-10.57999897,0.063235274,-0.00976,0.095160698,-4.281383465,0.039039999
-10.55999947,0.064323955,0.00488,0.100040694,-4.448119541,0.039039301
-10.53999901,0.065412687,-0.036600001,0.102476503,-4.614863568,0.036598605
-10.5199995,0.066501368,-0.00732,0.065878837,-4.781599644,0.021965234
-10.49999905,0.067590101,-0.048799999,0.061001393,-4.948343671,0.043919417
-10.47999954,0.068678782,0.00976,0.090279065,-5.115079747,0.031721394
-10.45999908,0.069767515,-0.0244,0.085404653,-5.281823774,0.039033485
-10.43999958,0.070856195,0.02196,0.097599649,-5.44855985,0.021962094
-10.41999912,0.071944928,0.041479997,0.09516,-5.615303877,0.036600001
-10.39999962,0.073033609,-0.00732,0.095162327,-5.782039953,0.036600001
-10.37999916,0.0732528,-0.01708,0.119559298,-5.87321208,0.036600699
-10.35999966,0.073471898,-0.0122,0.11711895,-5.964372653,0.039039999
-10.3399992,0.073691006,-0.01952,0.095157674,-6.055537572,0.039040581
-10.31999969,0.073910104,-0.0244,0.0854,-6.146698144,0.041479997
-10.29999924,0.074129213,-0.00732,0.090279065,-6.237863064,0.034160465
