Time,Plasmact,H-alpha,Mirnov,DeltaR,SXR
-11.07999897,0.011719362,0,0.09516,-8.503590584,0.034159999
-11.05999947,0.011719362,0.00976,0.095157208,-8.503590584,0.034157906
-11.03999901,0.011719362,-0.036600001,0.085401164,-8.503590584,0.026840698
-11.0199995,0.011719362,0.00244,0.097603488,-8.503590584,0.034158836
-10.99999905,0.011719362,0.00732,0.112239652,-8.503590584,0.029279999
-10.97999954,0.011719362,-0.031719998,0.104918603,-8.503590584,0.02928093
-10.95999908,0.011719362,0.00976,0.097593484,-8.503590584,0.034158138
-10.93999958,0.011719362,0.00976,0.080523837,-8.503590584,0.029280698
-10.91999912,0.011719362,0.00976,0.107357555,-8.503590584,0.034159185
-10.89999962,0.011719362,-0.056120001,0.100040927,-8.503590584,0.031719765
-10.87999916,0.011719362,-0.01464,0.109799298,-8.503590584,0.029280697
-10.85999966,0.011719362,0.01708,0.107358485,-8.503590584,0.031719765
-10.8399992,0.011719362,-0.060999997,0.075645235,-8.503590584,0.026841163
-10.81999969,0.011719362,0.02196,0.097599998,-8.503590584,0.031719998
-10.79999924,0.011719362,-0.00488,0.112240933,-8.503590584,0.034158603
-10.77999973,0.012108298,-0.029279999,0.117118369,-7.832843445,0.026841628
-10.75999928,0.012497252,-0.0244,0.112237209,-7.162064321,0.031719998
-10.73999977,0.012886188,-0.029279999,0.092719304,-6.491317182,0.031719998
-10.71999931,0.013275143,-0.00244,0.090280229,-5.820538059,0.031719299
-10.69999886,0.013664097,-0.029279999,0.092723492,-5.149758935,0.024399302
-10.67999935,0.014053033,-0.034159999,0.104919767,-4.479011796,0.021960581
-10.65999889,0.014441987,-0.0122,0.100042904,-3.808232672,0.034159418
-10.63999939,0.014830923,0.034159999,0.112240002,-3.137485533,0.031719998
-10.61999893,0.015219878,-0.053679999,0.095159535,-2.46670641,0.029280465
-10.59999943,0.015608814,-0.00732,0.092714302,-1.795959271,0.031721626
-10.57999897,0.015562975,0.00488,0.075643491,229.4278556,0.036598605
-10.55999947,0.015517118,-0.0122,0.100040694,460.6516384,0.026841395
-10.53999901,0.015471259,-0.00244,0.102480227,691.8864472,0.031719765
-10.5199995,0.015425402,-0.01952,0.10492,923.11023,0.029280581
-10.49999905,0.015379543,0.0122,0.104919767,1154.345039,0.031719998
-10.47999954,0.015333686,-0.039039999,0.100037669,1385.568822,0.031719067
-10.45999908,0.015287827,-0.00488,0.087839068,1616.80363,0.026843722
-10.43999958,0.01524197,0,0.0854,1848.027413,0.036599303
-10.41999912,0.01519611,-0.01708,0.085403257,2079.262222,0.031721626
-10.39999962,0.015150253,0.00488,0.095161396,2310.486005,0.036599768
-10.37999916,0.015539174,-0.01952,0.109797902,2076.538983,0.034159301
-10.35999966,0.015928117,0.00244,0.102479529,1842.558753,0.031720114
-10.3399992,0.016317078,-0.0244,0.092716512,1608.567365,0.034158254
-10.31999969,0.016706021,-0.00976,0.078079998,1374.587135,0.026839999
-10.29999924,0.017094983,0.00244,0.095160465,1140.595747,0.031720463
-10.27999973,0.017483926,-0.01952,0.097603255,906.6155165,0.034159185
-10.25999928,0.017872887,-0.00732,0.107358252,672.6241287,0.031720696
-10.23999977,0.01826183,-0.02196,0.095155812,438.6438983,0.036598605
-10.21999931,0.018650792,-0.00488,0.08052116,204.6525105,0.031719067
-10.19999886,0.019039795,-0.02196,0.092723492,-29.31628045,0.021960698
-10.17999935,0.019863524,-0.00244,0.104920349,-26.35722008,0.024400465
-10.15999889,0.020687292,-0.034159999,0.112234767,-23.3980186,0.034159418
-10.13999939,0.021511021,-0.036600001,0.090279996,-20.43895823,0.031719998
-10.11999893,0.022334789,0,0.063443719,-17.47975676,0.029280465
-10.09999943,0.023158518,0,0.08296488,-14.52069638,0.031719183
-10.07999897,0.023982286,-0.043919999,0.097601045,-11.56149491,0.029281047
-10.05999947,0.024806015,0.00244,0.104918604,-8.602434537,0.036597907
-10.03999901,0.025629783,-0.034159999,0.100038833,-5.643233063,0.029280465
-10.0199995,0.026453512,0.00244,0.087843488,-2.684172691,0.034159418
-9.999999046,0.027277218,0.00732,0.102479645,0.274902652,0.031719998
-9.979999542,0.026796568,0.01464,0.095162327,0.588868896,0.031719998
-9.959999084,0.026315895,0.00488,0.107353484,0.902850112,0.031720928
-9.93999958,0.025835245,0.00976,0.0902786,1.216816356,0.034159999
-9.919999123,0.025354572,0.00488,0.080526511,1.530797571,0.034158371
-9.899999619,0.024873922,0,0.100040229,1.844763815,0.029280465
-9.879999161,0.024393249,-0.02196,0.102476505,2.158745031,0.034157208
-9.859999657,0.023912599,-0.01708,0.090279531,2.472711275,0.024400232
-9.839999199,0.023431926,-0.00976,0.080521741,2.78669249,0.029280581
-9.819999695,0.022951276,-0.00732,0.087839998,3.100658734,0.031719998
-9.799999237,0.022470603,-0.00488,0.10736186,3.41463995,0.031719998
-9.779999733,0.02155516,-0.00732,0.117115926,-189.7367031,0.031719998
-9.759999275,0.020639674,-0.0244,0.104920698,-382.8972565,0.031720347
-9.739999771,0.019724231,-0.00244,0.109797204,-576.0485995,0.034158603
-9.719999313,0.018808744,-0.00732,0.100038134,-769.209153,0.029280232
-9.699998856,0.017893258,-0.00976,0.080529768,-962.3697064,0.031719998
-9.679999352,0.016977815,-0.00488,0.114679301,-1155.521049,0.031719998
-9.659998894,0.016062329,0,0.100038833,-1348.681603,0.031719416
-9.63999939,0.015146886,-0.0122,0.09516,-1541.832946,0.029279999
-9.619998932,0.0142314,-0.00732,0.078084653,-1734.993499,0.031720463
-9.599999428,0.013315957,0.00488,0.102486508,-1928.144842,0.034159185
